Season,Team1,Team2,Target,AvgPointsScored_Diff,AvgPointsAllowed_Diff,AvgOE_Diff,AvgDE_Diff,AvgTSP_Diff,AvgAstTORatio_Diff,AvgeFGP_Diff,AvgPossessions_Diff,AvgORP_Diff,AvgDRP_Diff,AvgStlRate_Diff,AvgBlkRate_Diff,AvgFTR_Diff,Avg3PAr_Diff,SOS_Diff,WinPct_Diff,GamesPlayed_Diff,NetRating_Diff,RecentWinPct_Diff,RecentOE_Diff,SeedNum_Diff,Elo_Diff,Rank_MOR_Diff,Rank_POM_Diff,Rank_SAG_Diff,Rank_WLK_Diff
2017,3397,3257,0,-0.8098039215686299,6.072549019607834,-2.8402193725346194,6.739814695830944,-0.005591149600289058,0.00570332345942437,-0.022198850414482607,1.4339950980392189,-0.0570524057935054,-0.028650938819350213,-0.021696641993419793,-0.0017373305887685014,0.0766643440220115,-0.06267849629687458,0.018659630110850478,-0.16078431372549018,-4.0,-9.580034068365563,-0.6666666666666666,-18.320122172661897,1.0,-111.39034482409897,0.0,0.0,0.0,0.0
2011,3222,3452,0,8.798387096774192,13.620967741935488,0.5329182827819778,8.772378082595651,-0.011066126904745899,0.008682222532985229,-0.02286646669441411,8.960509072580649,-0.04227288888408948,-0.02382102416127363,-0.026478230068080394,-0.039548402184093695,0.04158465289195368,-0.02959511848084448,-0.049228308003251064,0.11995967741935487,-1.0,-8.239459799813673,0.0,-2.9059488821869053,-1.0,-9.84414514599871,0.0,0.0,0.0,0.0
2003,1163,1400,0,1.1761904761904702,2.721428571428575,-2.969843127951279,0.01980085796699882,0.015671677508255377,-0.059578313617563605,0.028409817243527258,2.836398809523814,-0.019042348928545394,-0.02109098672383436,-0.008333866493580602,0.052162650540299296,-0.028331879310290076,-0.014239759626911486,-0.04154377727928371,-0.08571428571428574,2.0,-2.989643985918292,-0.06666666666666665,-7.971911829644824,4.0,-16.492295522313043,5.0,16.0,18.0,19.0
2024,3452,3234,0,-18.203323558162268,-14.13489736070381,-17.27904612163418,-12.766589575671802,-0.08148871026112392,-0.7643327526188901,-0.08232497470435818,-4.667949657869002,-0.011384127895692209,-0.05747973169504228,0.09008014884535911,0.014274832275257797,0.03139047295592928,-0.09175746028452969,-0.09125497747070421,-0.10459433040078203,-2.0,-4.512456545962365,-0.5,-23.64405624246139,7.0,-153.91487307027091,0.0,0.0,0.0,0.0
2021,1242,1425,0,-2.2401021711366553,1.0817369093231264,-3.587014934660232,0.5980600990168199,-0.014513498540993264,0.14859777917305528,-0.023396746377017275,0.582583014048538,-0.032887820675234825,-0.00701666158337666,0.026234798497381598,-0.0183926713745797,-0.06955180392300508,0.0456854725199925,0.005746615253411691,-0.054916985951468655,-2.0,-4.185075033677052,0.25,-7.504930898853374,-3.0,70.3360077504426,2.0,8.0,-17.0,10.0
2007,1338,1460,1,6.553308823529406,0.816176470588232,8.429263265332935,-0.5664442893875332,0.01941195163535092,0.5903467319583604,0.03157414718558982,1.0060202205882405,0.0610155154410269,0.003901336748717843,-0.009672862520194198,0.035030990830900596,0.030331938917676382,-0.004525469360554535,0.13670006191061462,0.07536764705882348,2.0,8.995707554720468,-0.4,-0.9579006882727583,-11.0,140.96567395563898,-72.0,-85.0,-78.0,-68.0
2014,3257,3268,0,-4.2843137254902075,-1.9215686274509807,-8.329522727754323,-4.827340840716985,-0.03253196720319518,-0.2613821067958466,-0.02786503039222754,1.654852941176486,-0.030640203130440413,-0.028660789221952365,0.019267360112223797,0.003030293209892697,0.02007529483922904,0.06310834872791338,-0.009614096495495272,0.08235294117647052,4.0,-3.5021818870373345,0.5,-7.190944146450477,-1.0,61.42300506709671,0.0,0.0,0.0,0.0
2025,3293,3234,0,13.46875,6.9375,10.264948927567545,3.315620865230329,0.01677940555513413,0.3573569008444686,0.006991973835462129,5.256640625000003,-0.016022252237096413,0.0009976301313905367,0.004070376600282102,-0.022643260101929498,0.005824227881851218,0.0727974993656395,-0.14968407777101972,0.09375,0.0,6.949328062337202,0.33333333333333337,20.704331216611422,5.0,-96.97237035329908,0.0,0.0,0.0,0.0
2021,1233,1104,0,-7.331372549019605,-3.8254901960784338,-2.345763865778295,1.6945078263949824,0.008123209506197493,-0.12698561210671933,-8.040979335932619e-05,-5.67551470588235,0.013566918282964302,0.026641659832874143,-0.016661165732756694,0.003364996829649705,0.07812822417457638,-0.0956746684275454,-0.11382597903838926,-0.09411764705882353,-13.0,-4.040271692173263,0.0,-9.555216970879798,13.0,-168.40762855089224,115.0,170.0,154.0,139.0
2015,3333,3355,1,-0.05172413793103203,-4.705818965517238,1.7526577820917595,-4.742277646027148,0.013026080870973122,0.24086469599377391,0.04057922486597332,-1.403044181034474,-0.01294053143337831,-0.01843270272863018,-0.02358171249774231,0.02123521059058421,-0.11273015937118408,0.08633636454041349,0.014520501660210017,0.11206896551724133,-3.0,6.494935428118911,-1.0,-7.146651851480982,-11.0,34.14085062059485,0.0,0.0,0.0,0.0
2025,1458,1140,0,-1.2554112554112606,-0.45021645021644474,-1.2932301142769234,-0.45260843769162307,-0.010320697605880946,0.19505247548855897,-0.03515470235774065,-0.191601731601736,-0.06075433534827662,-0.003998003729582922,-0.02783302090909079,-0.018047437340148804,0.03756411327341219,-0.0010839346095962155,0.03444199094157008,0.01558441558441559,2.0,-0.8406216765853003,-0.08333333333333337,-2.980608658353418,-3.0,-4.060587127545659,-3.0,-11.0,0.0,-11.0
2011,1437,1206,0,-0.625,4.03125,-2.6909720316046304,4.933191478545496,-0.015529471466142142,-0.18420336731337117,-0.03322293787812092,1.01953125,0.037629774859699094,0.006921609824404817,-0.008363736429755408,0.0076188235436020005,0.02747391980741265,0.021680800926236532,0.04497252948942276,-0.15625,0.0,-7.624163510150126,-0.5,4.001055145163605,1.0,-22.241604904047108,-5.0,2.0,-7.0,10.0
2011,3243,3345,0,-4.096774193548384,-2.516129032258064,-1.6084228000354273,0.6410776981874449,-0.02847682038648308,0.017883980885850415,-0.0010224526640272291,-2.998387096774195,-0.012711773095374412,-0.006366987356059228,-0.0004885492568036942,-0.028525291092652193,-0.10788409991225789,0.08485028711369752,0.011261975844486849,0.032258064516129004,0.0,-2.249500498222872,0.25,4.4861971918803505,-1.0,37.216748208968966,0.0,0.0,0.0,0.0
2015,3397,3338,1,5.28125,-4.524999999999999,8.925641667351286,-4.0672850538646514,0.03823719972670431,-0.0594800412526133,0.027349682113035345,-1.1637499999999932,0.07510863745543434,0.030101880765645128,0.02323631245594579,-0.023548487954061295,0.06537232802173099,-0.09688844159887691,0.046481480185682766,0.2104166666666667,2.0,12.992926721215923,0.6666666666666666,26.801099435244964,-8.0,289.4121198740711,0.0,0.0,0.0,0.0
2025,3343,3235,0,-10.335497835497833,-10.153679653679653,-3.3710667676906496,-5.662238761287682,-0.02425206496470733,-0.4132185985420742,-0.018433017037921995,-7.556493506493496,0.10992399743747502,-0.06189569295985875,0.014296615524090811,0.020199708499528,-0.10737836953206342,-0.06528989384543826,-0.026836180115817343,0.08333333333333337,-5.0,2.2911719935970307,0.0,-1.4582364081110484,0.0,31.762433929985264,0.0,0.0,0.0,0.0
2023,3301,3343,0,5.493087557603687,10.051843317972349,0.15211594076799884,8.16781912920598,0.014007570970482774,-0.0530781024046032,0.014772111680782685,5.29735023041475,-0.05202570113072891,-0.0010688360663296814,-0.037652056295130104,0.003456114998528395,-0.008163374720288774,0.016518527140100492,0.0965084992847568,-0.17626728110599077,3.0,-8.015703188437984,-0.5,0.8674147410214772,-3.0,-28.682767695653183,0.0,0.0,0.0,0.0
2018,3278,3332,0,3.2523719165085367,10.785578747628087,-7.358959322188937,5.225091125156595,-0.06612527994984374,-0.2440916173414469,-0.07606766645114799,7.508384724857677,-0.0018972074370819936,0.011973302062212254,0.004817236406399111,-0.019040213165141602,0.0170686195240925,-0.0212542826467656,-0.053753309719901554,-0.1404174573055028,-3.0,-12.584050447345547,-0.5,-13.047394711396578,8.0,-115.19193075938665,0.0,0.0,0.0,0.0
2011,3177,3298,1,16.28631138975966,5.81818181818182,11.20958629962098,-2.965078166495104,0.050623935783360774,0.23951093948128044,0.050218259516411345,8.881570010449323,0.014727306014760688,-0.044984486371134946,0.0499391548521205,0.018935034290633694,0.027409639797815022,-0.08263503949884382,0.1114721585193465,0.19749216300940442,4.0,14.17466446611607,-0.33333333333333337,3.894449261566905,-11.0,228.54033100124707,0.0,0.0,0.0,0.0
2018,1397,1260,0,2.524621212121218,4.362689393939391,0.9796195752714709,3.953126491203605,-0.04974910572149571,0.008068438089063212,-0.06880443578591633,1.9551491477272833,0.1058275663234502,-0.06071090206719487,-0.007065354447357203,0.0391791771161651,0.028832440611800125,-0.005920417099617992,0.08832755430270212,-0.08617424242424243,1.0,-2.973506915932134,-0.19999999999999996,14.795808262570958,-8.0,13.862176890712135,-47.0,-31.0,-45.0,-38.0
2022,1411,1394,1,-4.533333333333331,-5.566666666666663,-3.4694132190943634,-4.618867370479265,-0.006919655282791148,-0.22103332955887145,0.010686081756523746,-2.2991666666666646,-0.0030045563375052375,0.027300232194261365,-0.0334202432749935,0.0542813735397822,-0.06093132914779581,-0.0009607115718802683,0.04511283245503461,-0.033333333333333326,0.0,1.1494541513848735,0.0,-7.74017406283879,0.0,121.15706592629476,14.0,-64.0,-46.0,-30.0
2016,1138,1274,0,0.9810606060606091,9.126893939393938,-8.873858556059304,2.856904049919706,-0.040404439562830574,-0.3334734025421142,-0.041017277551628095,6.5223839962121275,0.01927322980095142,0.007743554138104791,0.0014659198319894873,-0.005513982885850102,0.022444716295851097,0.02958483781334692,-0.03439244943565256,-0.2054924242424242,1.0,-11.730762605978981,0.30000000000000004,0.13823235968290248,11.0,-105.01892028427733,96.0,117.0,120.0,120.0
2004,1329,1272,1,4.635467980295573,-2.0320197044335018,7.576314630597238,-2.6743371367340387,0.05623831579900962,0.07755349971860426,0.06002867091470698,-0.5017703201970392,-0.001382181689264128,-0.021395490365729408,0.00599103516103329,-0.0249076340388001,0.0008442318554029993,-0.18685916210081277,-0.00019450125984754596,0.14655172413793105,1.0,10.250651767331277,0.6666666666666667,5.950453376276599,-5.0,75.13529615775155,-29.0,-23.0,-24.0,-21.0
2022,3173,3208,0,-3.6379310344827616,-4.266666666666666,-0.6716715794103152,-1.8696636918890874,-0.012747372844885196,-0.0027881736654615796,-0.011609168895974797,-3.557586206896559,-0.042723924955628434,0.04901706867318545,-0.0343984271173237,-0.0359323921747982,0.048470267657588384,0.12085333663125208,-0.07863149108844181,0.14367816091954022,1.0,1.1979921124787598,0.6666666666666666,-0.7546660609935429,5.0,58.796972633037285,0.0,0.0,0.0,0.0
2021,1425,1242,1,2.2401021711366553,-1.0817369093231264,3.587014934660232,-0.5980600990168199,0.014513498540993264,-0.14859777917305528,0.023396746377017275,-0.582583014048538,0.032887820675234825,0.00701666158337666,-0.026234798497381598,0.0183926713745797,0.06955180392300508,-0.0456854725199925,-0.005746615253411691,0.054916985951468655,2.0,4.185075033677052,-0.25,7.504930898853374,3.0,-70.3360077504426,-2.0,-8.0,17.0,-10.0
2014,1444,1393,0,4.005040322580641,8.596774193548384,-5.412506081506763,2.8182623906491955,0.04439872809586021,-0.5506045267193274,0.03913874970811315,6.725378024193546,-0.05710249882206342,0.005213081054927238,-0.045858734539256193,-0.037486828208956206,0.13560410426787034,0.08267099054772842,-0.05070316020234655,-0.13407258064516125,-1.0,-8.230768472155958,0.6666666666666667,10.450465467128609,11.0,-148.81552189826016,95.0,99.0,104.0,93.0
2003,1393,1242,1,-1.2298850574712645,3.529885057471276,0.12151567087698822,6.752723661650833,-0.0034328157981278196,-0.01135231745047749,-0.010309804809754852,-1.4631034482758594,0.002391918819308003,-0.06981892883045293,-0.021452005113264408,0.031189185144125997,0.004197072095310617,0.033665851824436516,-0.03465471188247449,0.060919540229884994,-1.0,-6.631207990773833,0.0,-1.5842380448325883,1.0,-53.10546873240855,19.0,11.0,8.0,10.0
2007,1139,1196,0,-11.033206831119543,-4.623339658444024,-2.96828503657089,3.240370778527435,-0.03651267948208092,0.19863092205205546,-0.06282571671316528,-7.496845351043639,-0.07220119583099083,-0.021012068536721107,-0.022446549811309904,-0.046956599807372504,0.010388980161781192,0.1647721885528326,-0.03831325728924584,-0.046489563567362446,-3.0,-6.208655815098314,-0.30000000000000004,-14.578852834146772,4.0,-126.23786892281078,63.0,24.0,18.0,33.0
2021,1116,1331,1,3.0015527950310457,-6.8866459627329135,0.17268097559579587,-12.759727544690875,-0.026070811927556226,0.15879822639504781,-0.024614401055669255,2.6482919254658412,0.09635627195298119,0.04784910070904058,0.021308784942728504,0.0198238112665219,0.04867265850662972,-0.10126038333060022,0.08460550187864158,0.22049689440993792,5.0,12.932408520286685,-0.25,-3.6105604100784916,-12.0,151.64151694794418,-120.0,-133.0,-137.0,-138.0
2017,3323,3345,1,12.719251336898395,2.330659536541887,14.548929240665117,0.7764943339569612,0.06056913452729462,0.4561152967996398,0.06808979401441773,2.3789884135472477,0.027252208793980937,0.03276287615444562,0.014859248525749907,-0.005432091717809992,-0.004974334266890812,-0.019098288296927224,0.0894675214445666,0.2620320855614974,-1.0,13.772434906708156,0.25,22.177150559630917,-8.0,251.50037978052842,0.0,0.0,0.0,0.0
2019,1330,1345,0,-10.01102941176471,-5.959558823529413,-12.658037281183937,-6.718282247787172,-0.056645103943886776,-0.2771749625344877,-0.05397846340732143,-1.4045726102941245,-0.025738869323694624,0.012932193803760095,-0.012271831784982007,0.011131515560393004,-0.002099875613882196,-0.0697189591961227,-0.10245230391081983,0.045955882352941124,2.0,-5.939755033396793,0.26666666666666666,-15.851847495924915,11.0,-56.67566056059991,91.0,102.0,101.0,104.0
2010,3462,3211,1,-9.17686318131257,-1.8175750834260285,-4.971364646430118,3.610088239987533,-0.016955763309015826,-0.38656976233573004,-0.016140601059780213,-5.405269744160179,0.018621895793747067,0.052665262524162704,-0.041030043817865014,0.014202021302192502,0.0604906802671793,0.0430760956044956,0.03855174061457839,0.025583982202447175,-2.0,-8.581452886417665,0.0,-27.432663017898605,-4.0,40.32045563093379,0.0,0.0,0.0,0.0
2017,3400,3390,0,1.778103616813297,5.999022482893459,-3.091868761268117,3.830215014049358,-0.024460783785227647,-0.1484373054224557,-0.019575847589150208,4.0782746823069544,0.0447631707044151,-0.0023605980432080953,-0.0007061599330467905,0.001460946737979002,-0.05936337727685079,-0.1097220289721619,0.003890574643129585,-0.10654936461388076,-2.0,-6.922083775317489,-0.33333333333333337,-7.084599518779413,1.0,-41.037800489292295,0.0,0.0,0.0,0.0
